"","street1","accidents"
"376","BÄNSCHSTR. / SAMARITERSTR.",1
"377","BARBAROSSASTR. / HEILBRONNER STR.",1
"378","BÄRENLAUCHSTR. / OBERSPREESTR.",2
"379","BÄRENSTEINSTR. / EISENACHER STR. / BLUMBERGER DAMM",3
"380","BARFUSSTR.",1
"381","BARFUSSTR. / MÜLLERSTR. / TRANSVAALSTR.",1
"382","BARMBEKER WEG",1
"383","BARNETSTR.",3
"384","BARNETSTR. / GROß-ZIETHENER STR. / LICHTENRADER DAMM",1
"385","BARSTR.",1
"386","BARTHER STR.",1
"387","BARTHER STR. / DARßER STR.",1
"388","BARTNINGALLEE",2
"389","BARUTHER STR. / SOLMSSTR.",1
"390","BASELER STR. / CURTIUSSTR.",1
"391","BASELER STR. / LUZERNER STR.",1
"392","BASSERMANNWEG / MARIENSTR.",1
"393","BAUFÜHRERWEG / TISCHLERZEILE",1
"394","BAUMEISTERSTR. / RUBENSSTR.",1
"395","BÄUMERPLAN / LOEWENHARDTDAMM / SCHREIBERRING / SPIELPARK BÄUMERPLAN,ZW.WÜST",1
"396","BAUMSCHULENSTR. / BEHRINGSTR.",1
"397","BAUMSCHULENSTR. / FRAUENLOBSTR.",1
"398","BAUMSCHULENSTR. / GLANZSTR. / STORMSTR.",2
"399","BAUMSCHULENSTR. / KÖPENICKER LANDSTR.",3
"400","BAUMSCHULENSTR. / NEUE KRUGALLEE / PLÄNTERWALD",1
"401","BAUSDORFSTR.",1
"402","BAUTZENER STR.",1
"403","BAUTZENER STR. / MONUMENTENSTR. / MONUMENTENBRÜCKE",2
"404","BAYERISCHER PLATZ",1
"405","BAYERISCHE STR. / DÜSSELDORFER STR.",1
"406","BAYERNALLEE",1
"407","BAYERNALLEE / FRANKENALLEE / HEERSTR. / KASTANIENALLEE",1
"408","BAYERNRING / KAISERKORSO",1
"409","BAYERNRING / MUSSEHLSTR.",1
"410","BAYERNRING / SCHULENBURGRING",1
"411","BAYERNRING / TEMPELHOFER DAMM",1
"412","BAYREUTHER STR.",1
"413","BAYREUTHER STR. / KLEISTSTR. / WITTENBERGPLATZ",2
"414","BAYREUTHER STR. / KURFÜRSTENSTR.",2
"415","BEBELPLATZ / BEHRENSTR. / HEDWIGSKIRCHGASSE",1
"416","BECKERSTR.",1
"417","BECKERSTR. / KNAUSSTR. / SAARSTR.",1
"418","BECKERSTR. / RUBENSSTR.",1
"419","BEERENSTR. / FÜRSTENSTR.",1
"420","BEESKOWDAMM / KLEINMACHNOWER WEG / TELTOWER DAMM",1
"421","BEETHOVENSTR.",1
"422","BEETHOVENSTR. / KAULBACHSTR.",2
"423","BEHAIMSTR. / LANGHANSSTR.",1
"424","BEHAIMSTR. / STREUSTR.",1
"425","BEHMSTR.",2
"426","BEHMSTR. / MALMÖER STR. / SCHIVELBEINER STR.",1
"427","BEHRENSTR.",1
"428","BELLERMANNSTR.",2
"429","BELLERMANNSTR. / JÜLICHER STR. / BEHMSTR.",2
"430","BELLERMANNSTR. / PRINZENALLEE",3
"431","BELLEVUESTR.",1
"432","BELLEVUESTR. / LENNÉSTR. / KEMPERPLATZ",1
"433","BELLEVUESTR. / SEELENBINDERSTR.",1
"434","BELLEVUE-UFER / JOHN-FOSTER-DULLES-ALLEE / SPREEWEG / LUTHERBRÜCKE",1
"435","BELLINGSTR. / SEYDLITZSTR.",1
"436","BELßSTR.",1
"437","BELßSTR. / AM GEMEINDEPARK / MALTESERSTR. / GEMEINDEPARK LANKWITZ",2
"438","BELßSTR. / WEDELLSTR.",1
"439","BELZIGER RING",2
"440","BELZIGER STR.",5
"441","BELZIGER STR. / DOMINICUSSTR. / MARTIN-LUTHER-STR. / JOHN-F.-KENNEDY-PLATZ",3
"442","BELZIGER STR. / EISENACHER STR.",1
"443","BELZIGER STR. / GOTHAER STR.",1
"444","BENDASTR.",2
"445","BENDASTR. / DELBRÜCKSTR.",1
"446","BENDASTR. / GLASOWER STR.",1
"447","BENDASTR. / JULIUSSTR.",1
"448","BENDASTR. / KRANOLDPLATZ",1
"449","BENDASTR. / SILBERSTEINSTR. / EDUARD-MÜLLER-PLATZ",1
"450","BEN-GURION-STR.",1
"451","BENNOSTR. / GEHRENSEESTR.",1
"452","BENTSCHENER WEG / ECKERMANNSTR.",1
"453","BERGEDORFER STR.",1
"454","BERGFRIEDSTR. / RITTERSTR.",1
"455","BERGHEIMER STR. / SÜDWESTKORSO",1
"456","BERGIUSSTR.",1
"457","BERGMANNSTR.",3
"458","BERGMANNSTR. / GNEISENAUSTR. / SÜDSTERN",2
"459","BERGMANNSTR. / KREUZBERGSTR. / MEHRINGDAMM",6
